900	1000	5
1000	1100	98
1100	1200	47
1200	1300	63
1300	1400	58
1400	1500	29
1500	1600	88
1600	1700	58
1700	1800	84
1800	1900	54
1900	2000	100
2000	2100	40
2100	2200	76
2200	2300	20
2300	2400	65
2400	2500	56
2500	2600	64
2600	2700	96
2700	2800	13
2800	2900	5
2900	3000	9
3000	3100	5
3100	3200	16
3200	3300	44
3300	3400	92
3400	3500	20
3500	3600	35
3600	3700	48
3700	3800	49
3800	3900	10
3900	4000	83
4000	4100	96
4100	4200	69
4200	4300	13
4300	4400	27
4400	4500	58
4500	4600	27
4600	4700	6
4700	4800	82
4800	4900	79
4900	5000	94
5000	5100	97
5100	5200	26
5200	5300	42
5300	5400	9
5400	5500	22
5500	5600	13
5600	5700	85
5700	5800	95
5800	5900	82
5900	6000	90
6000	6100	35
6100	6200	20
6200	6300	14
6300	6400	66
6400	6500	13
6500	6600	16
6600	6700	40
6700	6800	38
6800	6900	40
6900	7000	42
7000	7100	92
7100	7200	33
7200	7300	39
7300	7400	21
7400	7500	99
7500	7600	48
7600	7700	91
7700	7800	10
7800	7900	47
7900	8000	16
8000	8100	94
8100	8200	57
8200	8300	99
8300	8400	16
8400	8500	50
8500	8600	13
8600	8700	74
8700	8800	33
8800	8900	29
8900	9000	25
9000	9100	5
9100	9200	90
9200	9300	3
9300	9400	50
9400	9500	62
9500	9600	98
9600	9700	59
9700	9800	36
9800	9900	66
9900	10000	95
10000	10100	33
10100	10200	54
10200	10300	9
10300	10400	63
10400	10500	61
10500	10600	83
10600	10700	62
10700	10800	91
10800	10900	27
10900	11000	14
11000	11100	85
11100	11200	50
11200	11300	34
11300	11400	51
11400	11500	95
11500	11600	46
11600	11700	22
11700	11800	15
11800	11900	32
11900	12000	25
12000	12100	69
12100	12200	60
12200	12300	99
12300	12400	36
12400	12500	19
12500	12600	70
12600	12700	4
12700	12800	13
12800	12900	85
12900	13000	52
13000	13100	12
13100	13200	19
13200	13300	56
13300	13400	49
13400	13500	77
13500	13600	70
13600	13700	79
13700	13800	75
13800	13900	9
13900	14000	7
14000	14100	15
14100	14200	31
14200	14300	57
14300	14400	41
14400	14500	34
14500	14600	31
14600	14700	89
14700	14800	23
14800	14900	82
14900	15000	15
15000	15100	76
15100	15200	16
15200	15300	84
15300	15400	25
15400	15500	98
15500	15600	51
15600	15700	49
15700	15800	10
15800	15900	22
15900	16000	96
16000	16100	40
16100	16200	49
16200	16300	4
16300	16400	73
16400	16500	49
16500	16600	95
16600	16700	77
16700	16800	56
16800	16900	91
16900	17000	57
17000	17100	15
17100	17200	73
17200	17300	19
17300	17400	10
17400	17500	100
17500	17600	50
17600	17700	59
17700	17800	86
17800	17900	35
17900	18000	46
18000	18100	14
18100	18200	4
18200	18300	58
18300	18400	9
18400	18500	3
18500	18600	98
18600	18700	38
18700	18800	21
18800	18900	50
18900	19000	52
19000	19100	98
19100	19200	22
19200	19300	95
19300	19400	40
19400	19500	82
19500	19600	89
19600	19700	4
19700	19800	58
19800	19900	57
19900	20000	44
20000	20100	40
